cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
4096,32,2,1,1,0.226746,519584
4096,32,2,1,0,0.453449,679983
4096,32,2,0,1,0.226746,716896
4096,32,2,0,0,0.453449,679991
4096,32,4,1,1,0.226746,519584
4096,32,4,1,0,0.453449,679983
4096,32,4,0,1,0.226746,716896
4096,32,4,0,0,0.453449,679991
4096,32,8,1,1,0.226746,519584
4096,32,8,1,0,0.453449,679983
4096,32,8,0,1,0.226746,716896
4096,32,8,0,0,0.453449,679991
4096,32,16,1,1,0.226746,519592
4096,32,16,1,0,0.453449,679983
4096,32,16,0,1,0.226746,716896
4096,32,16,0,0,0.453449,679991
4096,32,32,1,1,0.226746,519616
4096,32,32,1,0,0.453449,679983
4096,32,32,0,1,0.226746,716896
4096,32,32,0,0,0.453449,679991
4096,64,2,1,1,0.113404,341295
4096,64,2,1,0,0.377873,593798
4096,64,2,0,1,0.113404,636895
4096,64,2,0,0,0.377873,593830
4096,64,4,1,1,0.113404,341295
4096,64,4,1,0,0.377873,593798
4096,64,4,0,1,0.113404,636895
4096,64,4,0,0,0.377873,593830
4096,64,8,1,1,0.113404,341295
4096,64,8,1,0,0.377873,593798
4096,64,8,0,1,0.113404,636895
4096,64,8,0,0,0.377873,593830
4096,64,16,1,1,0.113404,341303
4096,64,16,1,0,0.377873,593798
4096,64,16,0,1,0.113404,636895
4096,64,16,0,0,0.377873,593830
4096,64,32,1,1,0.113404,341311
4096,64,32,1,0,0.377873,593798
4096,64,32,0,1,0.113404,636895
4096,64,32,0,0,0.377873,593830
4096,128,2,1,1,0.0567233,252128
4096,128,2,1,0,0.340082,550698
4096,128,2,0,1,0.0567233,596888
4096,128,2,0,0,0.340082,550746
4096,128,4,1,1,0.0567233,252128
4096,128,4,1,0,0.340082,550698
4096,128,4,0,1,0.0567233,596888
4096,128,4,0,0,0.340082,550746
4096,128,8,1,1,0.0567233,252128
4096,128,8,1,0,0.340082,550698
4096,128,8,0,1,0.0567233,596888
4096,128,8,0,0,0.340082,550746
4096,128,16,1,1,0.0567233,252136
4096,128,16,1,0,0.340082,550698
4096,128,16,0,1,0.0567233,596888
4096,128,16,0,0,0.340082,550746
4096,128,32,1,1,0.0567233,252136
4096,128,32,1,0,0.340082,550698
4096,128,32,0,1,0.0567233,596888
4096,128,32,0,0,0.340082,550746
4096,256,2,1,1,0.0283739,207530
4096,256,2,1,0,0.32118,529137
4096,256,2,0,1,0.0283739,576882
4096,256,2,0,0,0.32118,529193
4096,256,4,1,1,0.0283739,207530
4096,256,4,1,0,0.32118,529137
4096,256,4,0,1,0.0283739,576882
4096,256,4,0,0,0.32118,529193
4096,256,8,1,1,0.0283739,207530
4096,256,8,1,0,0.32118,529137
4096,256,8,0,1,0.0283739,576882
4096,256,8,0,0,0.32118,529193
4096,256,16,1,1,0.0283739,207538
4096,256,16,1,0,0.32118,529137
4096,256,16,0,1,0.0283739,576882
4096,256,16,0,0,0.32118,529193
16384,32,2,1,1,0.226746,518560
16384,32,2,1,0,0.453449,679983
16384,32,2,0,1,0.226746,716896
16384,32,2,0,0,0.453449,679991
16384,32,4,1,1,0.226746,518560
16384,32,4,1,0,0.453449,679983
16384,32,4,0,1,0.226746,716896
16384,32,4,0,0,0.453449,679991
16384,32,8,1,1,0.226746,518560
16384,32,8,1,0,0.453449,679983
16384,32,8,0,1,0.226746,716896
16384,32,8,0,0,0.453449,679991
16384,32,16,1,1,0.226746,518560
16384,32,16,1,0,0.453449,679983
16384,32,16,0,1,0.226746,716896
16384,32,16,0,0,0.453449,679991
16384,32,32,1,1,0.226746,518560
16384,32,32,1,0,0.453449,679983
16384,32,32,0,1,0.226746,716896
16384,32,32,0,0,0.453449,679991
16384,64,2,1,1,0.113404,340783
16384,64,2,1,0,0.377873,593798
16384,64,2,0,1,0.113404,636895
16384,64,2,0,0,0.377873,593830
16384,64,4,1,1,0.113404,340783
16384,64,4,1,0,0.377873,593798
16384,64,4,0,1,0.113404,636895
16384,64,4,0,0,0.377873,593830
16384,64,8,1,1,0.113404,340783
16384,64,8,1,0,0.377873,593798
16384,64,8,0,1,0.113404,636895
16384,64,8,0,0,0.377873,593830
16384,64,16,1,1,0.113404,340783
16384,64,16,1,0,0.377873,593798
16384,64,16,0,1,0.113404,636895
16384,64,16,0,0,0.377873,593830
16384,64,32,1,1,0.113404,340783
16384,64,32,1,0,0.377873,593798
16384,64,32,0,1,0.113404,636895
16384,64,32,0,0,0.377873,593830
16384,128,2,1,1,0.0567233,251872
16384,128,2,1,0,0.340082,550698
16384,128,2,0,1,0.0567233,596888
16384,128,2,0,0,0.340082,550746
16384,128,4,1,1,0.0567233,251872
16384,128,4,1,0,0.340082,550698
16384,128,4,0,1,0.0567233,596888
16384,128,4,0,0,0.340082,550746
